CLIENTE 65 | Prodotti acquistati:55 | Tempo nel negozio:2.126 s | Tempo in coda:1.866 s | Code cambiate:1 |
CLIENTE 59 | Prodotti acquistati:13 | Tempo nel negozio:3.425 s | Tempo in coda:3.068 s | Code cambiate:1 |
CLIENTE 2 | Prodotti acquistati:14 | Tempo nel negozio:5.289 s | Tempo in coda:4.959 s | Code cambiate:1 |
CLIENTE 38 | Prodotti acquistati:66 | Tempo nel negozio:5.279 s | Tempo in coda:4.934 s | Code cambiate:1 |
CLIENTE 100 | Prodotti acquistati:0 | Tempo nel negozio:0.214 s | Tempo di coda:0 s | Code cambiate:0 |
CLIENTE 64 | Prodotti acquistati:48 | Tempo nel negozio:3.027 s | Tempo in coda:2.732 s | Code cambiate:1 |
CLIENTE 39 | Prodotti acquistati:73 | Tempo nel negozio:5.465 s | Tempo in coda:5.244 s | Code cambiate:2 |
CLIENTE 1 | Prodotti acquistati:7 | Tempo nel negozio:5.476 s | Tempo in coda:5.112 s | Code cambiate:1 |
CLIENTE 8 | Prodotti acquistati:56 | Tempo nel negozio:5.466 s | Tempo in coda:5.226 s | Code cambiate:2 |
CLIENTE 7 | Prodotti acquistati:49 | Tempo nel negozio:5.466 s | Tempo in coda:5.101 s | Code cambiate:1 |
CLIENTE 74 | Prodotti acquistati:18 | Tempo nel negozio:1.743 s | Tempo in coda:1.475 s | Code cambiate:1 |
CLIENTE 31 | Prodotti acquistati:17 | Tempo nel negozio:5.848 s | Tempo in coda:5.477 s | Code cambiate:1 |
CLIENTE 77 | Prodotti acquistati:39 | Tempo nel negozio:2.562 s | Tempo in coda:2.295 s | Code cambiate:1 |
CLIENTE 83 | Prodotti acquistati:81 | Tempo nel negozio:2.214 s | Tempo in coda:1.942 s | Code cambiate:1 |
CLIENTE 63 | Prodotti acquistati:41 | Tempo nel negozio:3.877 s | Tempo in coda:3.551 s | Code cambiate:1 |
CLIENTE 67 | Prodotti acquistati:69 | Tempo nel negozio:3.344 s | Tempo in coda:2.954 s | Code cambiate:1 |
CLIENTE 68 | Prodotti acquistati:76 | Tempo nel negozio:3.231 s | Tempo in coda:2.874 s | Code cambiate:1 |
CLIENTE 70 | Prodotti acquistati:90 | Tempo nel negozio:3.231 s | Tempo in coda:2.841 s | Code cambiate:1 |
CLIENTE 86 | Prodotti acquistati:2 | Tempo nel negozio:2.292 s | Tempo in coda:2.021 s | Code cambiate:1 |
CLIENTE 49 | Prodotti acquistati:43 | Tempo nel negozio:6.754 s | Tempo in coda:6.375 s | Code cambiate:1 |
CLIENTE 54 | Prodotti acquistati:78 | Tempo nel negozio:5.665 s | Tempo in coda:5.342 s | Code cambiate:1 |
CLIENTE 57 | Prodotti acquistati:99 | Tempo nel negozio:5.359 s | Tempo in coda:5.133 s | Code cambiate:1 |
CLIENTE 56 | Prodotti acquistati:92 | Tempo nel negozio:5.360 s | Tempo in coda:5.104 s | Code cambiate:1 |
CLIENTE 89 | Prodotti acquistati:23 | Tempo nel negozio:2.413 s | Tempo in coda:2.048 s | Code cambiate:1 |
CLIENTE 98 | Prodotti acquistati:86 | Tempo nel negozio:1.791 s | Tempo in coda:1.423 s | Code cambiate:1 |
CLIENTE 95 | Prodotti acquistati:65 | Tempo nel negozio:1.915 s | Tempo in coda:1.639 s | Code cambiate:1 |
CLIENTE 76 | Prodotti acquistati:32 | Tempo nel negozio:3.235 s | Tempo in coda:3.033 s | Code cambiate:1 |
CLIENTE 79 | Prodotti acquistati:53 | Tempo nel negozio:3.235 s | Tempo in coda:3.033 s | Code cambiate:1 |
CLIENTE 107 | Prodotti acquistati:49 | Tempo nel negozio:1.581 s | Tempo in coda:1.306 s | Code cambiate:1 |
CLIENTE 101 | Prodotti acquistati:7 | Tempo nel negozio:1.767 s | Tempo in coda:1.394 s | Code cambiate:1 |
CLIENTE 113 | Prodotti acquistati:91 | Tempo nel negozio:0.292 s | Tempo in coda:0.008 s | Code cambiate:1 |
CLIENTE 60 | Prodotti acquistati:20 | Tempo nel negozio:5.545 s | Tempo in coda:5.223 s | Code cambiate:1 |
CLIENTE 75 | Prodotti acquistati:25 | Tempo nel negozio:3.762 s | Tempo in coda:3.527 s | Code cambiate:1 |
CLIENTE 82 | Prodotti acquistati:74 | Tempo nel negozio:3.611 s | Tempo in coda:3.308 s | Code cambiate:1 |
CLIENTE 117 | Prodotti acquistati:19 | Tempo nel negozio:0.669 s | Tempo in coda:0.416 s | Code cambiate:1 |
CLIENTE 116 | Prodotti acquistati:12 | Tempo nel negozio:0.944 s | Tempo in coda:0.661 s | Code cambiate:1 |
CLIENTE 88 | Prodotti acquistati:16 | Tempo nel negozio:3.765 s | Tempo in coda:3.555 s | Code cambiate:1 |
CLIENTE 85 | Prodotti acquistati:95 | Tempo nel negozio:3.765 s | Tempo in coda:3.462 s | Code cambiate:1 |
CLIENTE 62 | Prodotti acquistati:34 | Tempo nel negozio:5.504 s | Tempo in coda:5.151 s | Code cambiate:1 |
CLIENTE 66 | Prodotti acquistati:62 | Tempo nel negozio:4.971 s | Tempo in coda:4.741 s | Code cambiate:1 |
CLIENTE 69 | Prodotti acquistati:83 | Tempo nel negozio:4.858 s | Tempo in coda:4.626 s | Code cambiate:1 |
CLIENTE 73 | Prodotti acquistati:11 | Tempo nel negozio:4.724 s | Tempo in coda:4.427 s | Code cambiate:1 |
CLIENTE 72 | Prodotti acquistati:4 | Tempo nel negozio:4.850 s | Tempo in coda:4.522 s | Code cambiate:1 |
CLIENTE 119 | Prodotti acquistati:33 | Tempo nel negozio:1.543 s | Tempo in coda:1.164 s | Code cambiate:1 |
CLIENTE 122 | Prodotti acquistati:54 | Tempo nel negozio:1.464 s | Tempo in coda:1.086 s | Code cambiate:1 |
CLIENTE 125 | Prodotti acquistati:75 | Tempo nel negozio:1.016 s | Tempo in coda:0.728 s | Code cambiate:1 |
CLIENTE 94 | Prodotti acquistati:58 | Tempo nel negozio:3.839 s | Tempo in coda:3.532 s | Code cambiate:1 |
CLIENTE 91 | Prodotti acquistati:37 | Tempo nel negozio:4.164 s | Tempo in coda:3.859 s | Code cambiate:1 |
CLIENTE 131 | Prodotti acquistati:17 | Tempo nel negozio:0.968 s | Tempo in coda:0.583 s | Code cambiate:1 |
CLIENTE 137 | Prodotti acquistati:59 | Tempo nel negozio:0.379 s | Tempo in coda:0.087 s | Code cambiate:1 |
CLIENTE 140 | Prodotti acquistati:80 | Tempo nel negozio:0.389 s | Tempo in coda:0.000 s | Code cambiate:1 |
CLIENTE 78 | Prodotti acquistati:46 | Tempo nel negozio:5.544 s | Tempo in coda:5.308 s | Code cambiate:1 |
CLIENTE 81 | Prodotti acquistati:67 | Tempo nel negozio:5.393 s | Tempo in coda:5.059 s | Code cambiate:1 |
CLIENTE 80 | Prodotti acquistati:60 | Tempo nel negozio:5.393 s | Tempo in coda:5.030 s | Code cambiate:1 |
CLIENTE 143 | Prodotti acquistati:1 | Tempo nel negozio:0.355 s | Tempo in coda:0.059 s | Code cambiate:1 |
CLIENTE 84 | Prodotti acquistati:88 | Tempo nel negozio:5.421 s | Tempo in coda:5.087 s | Code cambiate:1 |
CLIENTE 87 | Prodotti acquistati:9 | Tempo nel negozio:5.421 s | Tempo in coda:5.180 s | Code cambiate:1 |
CLIENTE 92 | Prodotti acquistati:44 | Tempo nel negozio:4.751 s | Tempo in coda:4.382 s | Code cambiate:1 |
CLIENTE 99 | Prodotti acquistati:93 | Tempo nel negozio:4.454 s | Tempo in coda:4.210 s | Code cambiate:1 |
